PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Sun, Zhiyuan; Basov, D. N.; Fogler, M. M.								Third-order optical conductivity of an electron fluid								PHYSICAL REVIEW B				97	7					075432	10.1103/PhysRevB.97.075432					FEB 20 2018	2018										1	0	0	0	0	1			2469-9950	2469-9969		WOS:000425492500014		
P	JIANG S; ZHANG D; SUN W; SONG Y; LI W; BAO A								Magnetic field based pier scouring monitoring system, has data processing system for calculating tensor magnetic field as scour depth of pier, where data processing system performs safety evaluation and early warning of pier					CN107702639-A	UNIV SOUTHWEST																																		0						DIIDW:201815353E		
J	Cardall, C.Y.								Relativistic Analogue of the Newtonian Fluid Energy Equation with Nucleosynthesis [arXiv]								arXiv								10 pp.	10 pp.							15 Feb. 2018	2018										0	0	0	0	0	0						INSPEC:17741964		
J	Knorr, Benjamin					Knorr, Benjamin/0000-0001-6700-6501			Critical chiral Heisenberg model with the functional renormalization group								PHYSICAL REVIEW B				97	7					075129	10.1103/PhysRevB.97.075129					FEB 14 2018	2018										4	0	0	0	0	4			2469-9950	2469-9969		WOS:000424967200001		
J	Reeks, M.; Swailes, D. C.; Bragg, A. D.								Is the kinetic equation for turbulent gas-particle flows ill posed?								PHYSICAL REVIEW E				97	2					023104	10.1103/PhysRevE.97.023104					FEB 13 2018	2018										0	0	0	0	0	0			2470-0045	2470-0053		WOS:000424905900011	29548204	
J	Kopyev, A. V.				Kopyev, Aleksey/M-5239-2015	Kopyev, Aleksey/0000-0003-3133-8330			Degeneracy of velocity strain-rate tensor statistics in random isotropic incompressible flows								PHYSICAL REVIEW FLUIDS				3	2					024603	10.1103/PhysRevFluids.3.024603					FEB 13 2018	2018										0	0	0	0	0	0			2469-990X			WOS:000424921500002		
J	Urushihata, Takuya; Takuwa, Hiroyuki; Seki, Chie; Tachibana, Yasuhiko; Takahashi, Manami; Kershaw, Jeff; Takado, Yuhei; Aoki, Ichio; Higuchi, Makoto; Ito, Hiroshi; Obata, Takayuki								Water Diffusion in the Brain of Chronic Hypoperfusion Model Mice: A Study Considering the Effect of Blood Flow.								Magnetic resonance in medical sciences : MRMS : an official journal of Japan Society of Magnetic Resonance in Medicine											10.2463/mrms.mp.2017-0149					2018-Feb-13	2018										0	0	0	0	0	0				1880-2206		MEDLINE:29434092	29434092	
J	Narain, Gaurav								Signs and stability in higher-derivative gravity								INTERNATIONAL JOURNAL OF MODERN PHYSICS A				33	4					1850031	10.1142/S0217751X18500318					FEB 10 2018	2018										2	0	0	0	0	2			0217-751X	1793-656X		WOS:000425037000007		
J	Aponte-Rivera, Christian; Su, Yu; Zia, Roseanna N.								Equilibrium structure and diffusion in concentrated hydrodynamically interacting suspensions confined by a spherical cavity								JOURNAL OF FLUID MECHANICS				836				413	450		10.1017/jfm.2017.801					FEB 10 2018	2018										0	0	0	0	0	0			0022-1120	1469-7645		WOS:000417954500006		
J	Dolata, Benjamin E.; Zia, Roseanna N.								Y Non-equilibrium pair interactions in colloidaldispersions								JOURNAL OF FLUID MECHANICS				836				694	739		10.1017/jfm.2017.789					FEB 10 2018	2018										0	0	0	0	0	0			0022-1120	1469-7645		WOS:000418188300008		
