A Parallel Version of the OneCut Image Segmentation Algorithm,"Alexandru Pruncu, Irina Mocanu, ",2017,0
Segmentation of malaria parasite candidates from thick blood smear microphotographs image using active contour without edge,"Sekar Rini Abidin, Umi Salamah, Anto Satriyo Nugroho, ",2016,0
Coastline automatic detection based on high resolution SAR images,"Ke Cao, Jianchao Fan, Xinxin Wang, Xiang Wang, Jianhua Zhao, Fengshou Zhang, ",2016,0
A Novel Edge Preserving Active Contour Model Using Guided Filter and Harmonic Surface Function for Infrared Image Segmentation,"Shiping Zhu, Xiaoyan Bu, Qin Zhou, ",2018,0
Marine reclamation feature analysis based on GF-3 SAR remote sensing imagery,"Jianchao Fan, Jianhua Zhao, Xinxin Wang, Xiang Wang, Jialan Chu, Bingnan Li, ",2017,0
Remote sensing images coastline detection based on geometric active contour models,"Jianchao Fan, Jialan Chu, Dawei Jiang, Fanglei Liu, Wei Yao, ",2015,1,Coastline automatic detection based on high resolution SAR images,A Novel Edge Preserving Active Contour Model Using Guided Filter and Harmonic Surface Function for Infrared Image Segmentation,Marine reclamation feature analysis based on GF-3 SAR remote sensing imagery
Segmentation of sparse noisy point clouds using active contour models,"Mahmoud Awadallah, Lynn Abbott, Sherin Ghannam, ",2014,1,Remote sensing images coastline detection based on geometric active contour models
Ensemble of convolutional neural networks for classification of breast microcalcification from mammograms,"Egemen Sert, Seyda Ertekin, Ugur Halici, ",2017,0
Multi-scale mass segmentation for mammograms via cascaded random forests,"Hang Min, Shekhar S. Chandra, Neeraj Dhungel, Stuart Crozier, Andrew P. Bradley, ",2017,0
Advanced skin lesion discrimination pipeline for early melanoma cancer diagnosis towards PoC devices,"Sabrina Conoci, Francesco Rundo, Salvatore Petralta, Sebastiano Battiato, ",2017,0
Melanoma detection using regular convolutional neural networks,"Aya Abu Ali, Hasan Al-Marzouqi, ",2017,0
Tree-loss function for training neural networks on weakly-labelled datasets,"Sergey Demyanov, Rajib Chakravorty, Zongyuan Ge, SeyedBehzad Bozorgtabar, Michelle Pablo, Adrian Bowling, Rahil Garnavi, ",2017,0
Melanoma detection by analysis of clinical images using convolutional neural network,"E. Nasr-Esfahani, S. Samavi, N. Karimi, S. M. R. Soroushmehr, M. H. Jafari, K. Ward, K. Najarian, ",2016,2,A Non-invasive 2D Digital Imaging Method for Detection of Surface Lesions Using Machine Learning,Advanced skin lesion discrimination pipeline for early melanoma cancer diagnosis towards PoC devices,Melanoma detection using regular convolutional neural networks,Tree-loss function for training neural networks on weakly-labelled datasets
Deep residual neural networks for automated Basal Cell Carcinoma detection,"Eric Vander Putten, Ameer Kambod, Mobeen Kambod, ",2018,0
Cross-database mammographic image analysis through unsupervised domain adaptation,"Deepak Kumar, Chetan Kumar, Ming Shao, ",2017,0
Globally optimal breast mass segmentation from DCE-MRI using deep semantic segmentation as shape prior,"Gabriel Maicas, Gustavo Carneiro, Andrew P. Bradley, ",2017,0
Automated Analysis of Unregistered Multi-View Mammograms With Deep Learning,"Gustavo Carneiro, Jacinto Nascimento, Andrew P. Bradley, ",2017,0
Information Theory-Based Detection of Noisy Bit Planes in Medical Images,"Hugo N. de Oliveira, Jefersson Alex dos Santos, Matheus C. de Melo, Tha&iacute;s G. do R&ecirc;go, Leonardo V. Batista, ",2016,0
Fully automated classification of mammograms using deep residual neural networks,"Neeraj Dhungel, Gustavo Carneiro, Andrew P. Bradley, ",2017,1,Automated Analysis of Unregistered Multi-View Mammograms With Deep Learning,Whole mammogram image classification with convolutional neural networks
Breast cancer detection in mammograms using convolutional neural network,"Saira Charan, Muhammad Jaleed Khan, Khurram Khurshid, ",2018,0
Breast cancer detection using convolutional neural networks for mammogram imaging system,"Y. J. Tan, K. S. Sim, F. F. Ting, ",2017,0
Classification of whole mammogram and tomosynthesis images using deep convolutional neural networks,"Xiaofei Zhang, Yi Zhang, Erik Y. Han, Nathan Jacobs, Qiong Han, Xiaoqin Wang, Jinze Liu, ",2018,0
Elastic deformations for data augmentation in breast cancer mass detection,"Eduardo Castro, Jaime S. Cardoso, Jose Costa Pereira, ",2018,0
Whole mammogram image classification with convolutional neural networks,"Xiaofei Zhang, Yi Zhang, Erik Y. Han, Nathan Jacobs, Qiong Han, Xiaoqin Wang, Jinze Liu, ",2017,0
Survey on deep convolutional neural networks in mammography,"Dina Abdelhafiz, Sheida Nabavi, Reda Ammar, Clifford Yang, ",2017,0
Detection and classification of the breast abnormalities in digital mammograms via regional Convolutional Neural Network,"M. A. Al-masni, M. A. Al-antari, J. M. Park, G. Gi, T. Y. Kim, P. Rivera, E. Valarezo, S. -M. Han, T. -S. Kim, ",2017,0
Domain specific convolutional neural nets for detection of architectural distortion in mammograms,"Rami Ben-Ari, Ayelet Akselrod-Ballin, Leonid Karlinsky, Sharbell Hashoul, ",2017,0
Mass detection using deep convolutional neural network for mammographic computer-aided diagnosis,"Shintaro Suzuki, Xiaoyong Zhang, Noriyasu Homma, Kei Ichiji, Norihiro Sugita, Yusuke Kawasumi, Tadashi Ishibashi, Makoto Yoshizawa, ",2016,1,Ensemble of convolutional neural networks for classification of breast microcalcification from mammograms
Automated Mass Detection in Mammograms Using Cascaded Deep Learning and Random Forests,"Neeraj Dhungel, Gustavo Carneiro, Andrew P. Bradley, ",2015,14,Multi-scale mass segmentation for mammograms via cascaded random forests,Detection and classification of the breast abnormalities in digital mammograms via regional Convolutional Neural Network,Ensemble of convolutional neural networks for classification of breast microcalcification from mammograms,Melanoma detection by analysis of clinical images using convolutional neural network,Cross-database mammographic image analysis through unsupervised domain adaptation,Globally optimal breast mass segmentation from DCE-MRI using deep semantic segmentation as shape prior,Automated Analysis of Unregistered Multi-View Mammograms With Deep Learning,Information Theory-Based Detection of Noisy Bit Planes in Medical Images,Fully automated classification of mammograms using deep residual neural networks,Elastic deformations for data augmentation in breast cancer mass detection
Automated detection of breast cancer lesions using adaptive thresholding and morphological operation,"Muzni Sahar, Hanung Adi Nugroho, Tianur, Igi Ardiyanto, Lina Choridah, ",2016,1,Breast cancer detection in mammograms using convolutional neural network
Active contour bilateral filter for breast lesions segmentation on ultrasound images,"Anan Nugroho, Hanung Adi Nugroho, Lina Choridah, ",2015,1,Automated detection of breast cancer lesions using adaptive thresholding and morphological operation
Segmentation of humeral head from MR slices,"Aysun Sezer, Hasan Basri Sezer, Song&uuml;l Albayrak, ",2014,0
Bag of feature based classification of bone from MR images,"Aysun Sezer, Hasan Basri Sezer, ",2017,0
A novel automatic identification model for tracking dynamic brain functional networks at single-subject level,"Nizhuan Wang, Li Liu, Weixiang Liu, Hongjie Yan, ",2017,0
Distributed rank-1 dictionary learning: Towards fast and scalable solutions for fMRI big data analytics,"Milad Makkie, Xiang Li, Tianming Liu, Shannon Quinn, Binbin Lin, Jieping Ye, ",2016,0
Compressed dictionary learning for detecting activations in fMRI using double sparsity,"Shuangjiang Li, Hairong Qi, ",2014,0
Flexible large-scale fMRI analysis: A survey,"Seung-Jun Kim, Vince D. Calhoun, T&uuml;lay Adalı, ",2017,0
Depth Super-Resolution From RGB-D Pairs With Transform and Spatial Domain Regularization,"Zhongyu Jiang, Yonghong Hou, Huanjing Yue, Jingyu Yang, Chunping Hou, ",2018,0
Local segment-based dense depth reconstruction from very sparsely sampled data,"Chandra Shaker Balure, Arnav Bhavsar, M. Ramesh Kini, ",2017,0
Image guided depth enhancement via deep fusion and local linear regularizaron,"Jiang Zhu, Jing Zhang, Yang Cao, Zengfu Wang, ",2017,0
Depth Map Restoration From Undersampled Data,"Srimanta Mandal, Arnav Bhavsar, Anil Kumar Sao, ",2017,2,Depth Super-Resolution From RGB-D Pairs With Transform and Spatial Domain Regularization,Local segment-based dense depth reconstruction from very sparsely sampled data,Image guided depth enhancement via deep fusion and local linear regularizaron
The model order limit: Deep sparse factorization for resting brain,"Debadatta Dash, Vinayak Abrol, Anil Kumar Sao, Bharat Biswal, ",2018,0
Spatial sparsification and low rank projection for fast analysis of multi-subject resting state fMRI data,"Debadatta Dash, Vinayak Abrol, Anil Kumar Sao, Bharat Biswal, ",2018,0
Fast and robust FMRI unmixing using hierarchical dictionary learning,"V. Abrol, P. Sharma, Shahrooz F. Roohi, Anil K. Sao, Ashraf A. Kassim, ",2016,1,Depth Map Restoration From Undersampled Data,The model order limit: Deep sparse factorization for resting brain,Spatial sparsification and low rank projection for fast analysis of multi-subject resting state fMRI data
Resting-state fMRI analysis of Alzheimer's disease progress using sparse dictionary learning,"Jeonghyeon Lee, Jong Chul Ye, ",2012,0
A Reconstruction Algorithm with Multiple Side Information for Distributed Compression of Sparse Sources,"Huynh Van Luong, J&uuml;rgen Seiler, Andr&eacute; Kaup, S&oslash;ren Forchhammer, ",2016,0
Compressive online robust principal component analysis with multiple prior information,"Huynh Van Luong, Nikos Deligiannis, J&uuml;rgen Seiler, Soren Forchhammer, Andr&eacute; Kaup, ",2017,0
Compressive Online Robust Principal Component Analysis via  $n$ - $ell_1$  Minimization,"Huynh Van Luong, Nikos Deligiannis, J&uuml;rgen Seiler, S&oslash;ren Forchhammer, Andr&eacute; Kaup, ",2018,0
Heterogeneous Face Identification by Fusion of Local Descriptors,"Kunwar Pankaj Siddharth, Dakshina Ranjan Kisku, ",2017,0
Heterogeneous Face Recognition: A Common Encoding Feature Discriminant Approach,"Dihong Gong, Zhifeng Li, Weilin Huang, Xuelong Li, Dacheng Tao, ",2017,0
Simultaneous Local Binary Feature Learning and Encoding for Homogeneous and Heterogeneous Face Recognition,"Jiwen Lu, Venice Erin Liong, Jie Zhou, ",2018,0
A Maximum Correlation Feature Descriptor for Heterogeneous Face Recognition,"Dihong Gong, Jiangyu Zheng, ",2013,2,Heterogeneous Face Identification by Fusion of Local Descriptors,Heterogeneous Face Recognition: A Common Encoding Feature Discriminant Approach
On Matching Visible to Passive Infrared Face Images Using Image Synthesis &amp; Denoising,"Nnamdi Osia, Thirimachos Bourlai, ",2017,0
Multiview Label Sharing for Visual Representations and Classifications,"Chunjie Zhang, Jian Cheng, Qi Tian, ",2018,0
Heterogeneous Face Recognition Using Inter-Session Variability Modelling,"Tiago de Freitas Pereira, S&eacute;bastien Marcel, ",2016,0
Robust Multiview Data Analysis Through Collective Low-Rank Subspace,"Zhengming Ding, Yun Fu, ",2018,0
Supervised Intra- and Inter-Modality Similarity Preserving Hashing for Cross-Modal Retrieval,"Zhikui Chen, Fangming Zhong, Geyong Min, Yonglin Leng, Yiming Ying, ",2018,0
Cross-Modality Feature Learning Through Generic Hierarchical Hyperlingual-Words,"Ming Shao, Yun Fu, ",2017,1,Multiview Label Sharing for Visual Representations and Classifications,Heterogeneous Face Recognition Using Inter-Session Variability Modelling,Robust Multiview Data Analysis Through Collective Low-Rank Subspace,Supervised Intra- and Inter-Modality Similarity Preserving Hashing for Cross-Modal Retrieval
Cross-Domain Color Facial Expression Recognition Using Transductive Transfer Subspace Learning,"Wenming Zheng, Yuan Zong, Xiaoyan Zhou, Minghai Xin, ",2018,0
Coupled Auto-Associative Neural Networks for Heterogeneous Face Recognition,"Benjamin S. Riggan, Christopher Reale, Nasser M. Nasrabadi, ",2015,4
Deep Heterogeneous Face Recognition Networks Based on Cross-Modal Distillation and an Equitable Distance Metric,"Christopher Reale, Hyungtae Lee, Heesung Kwon, ",2017,0
Heterogeneous Face Recognition: Recent Advances in Infrared-to-Visible Matching,"Shuowen Hu, Nathaniel Short, Benjamin S. Riggan, Matthew Chasse, M. Saquib Sarfraz, ",2017,0
Dictionary Alignment for Low-Resolution and Heterogeneous Face Recognition,"Sivaram Prasad Mudunuri, Soma Biswas, ",2017,0
Heterogeneous face recognition via grassmannian based nearest subspace search,"Yuan Tian, Cheng Yan, Xiao Bai, Jun Zhou, ",2017,0
