Applying probability control to cognitive CDMA communication system for anti-interference,"Sheng Hong, Bo Zhang, Hongqi Yang, ",2013,0
Multi-band metamaterial-based microstrip antenna for WLAN and WiMAX applications,"Kai Yu, Yingsong Li, Yanyan Wang, ",2017,0
A SSRR based multiband reconfigurable monopole antenna,"A K Gangwar, M S Alam, ",2016,0
A novel dual band square patch antenna with better isolation and low correlation,"R. Chithradevi, B. S. Sreeja, ",2017,0
A Compact Four-Element MIMO/Diversity Antenna With Enhanced Bandwidth,"Debdeep Sarkar, Kumar Vaibhav Srivastava, ",2017,0
Massive MIMO 5G small cell antenna with high isolation,"Kuan-Chieh Liao, Wen-Shan Chen, Chow-Yen-Desmond Sim, ",2017,0
Wideband self-complementary hybrid ring dielectric resonator antenna for MIMO applications,"Gourab Das, Anand Sharma, Ravi Kumar Gangwar, ",2018,0
Leveraging tripolar antenna diversity to improve link reliability in severe multipath environments,"Sakil Chowdhury, James Jamison, Jeff Frolik, ",2018,0
Polarization diversity antenna with current block element and open stub,"Shohei Ishikawa, Masahiko Shimizu, ",2014,0
Parametric study on microstrip bow-tie patch antenna with complementary split ring resonator,"B. H. Ahmad, H. Nornikman, ",2015,0
Observation of multiband characteristics of microstrip antenna using defected ground structure,"Ike Yuni Wulandari, Mudrik Alaydrus, ",2017,0
A compact triple-band planar MIMO diversity antenna for WiMAX/WLAN applications,"Ashok Kumar, Mahendra Mohan Sharma, Deepak Jhanwar, ",2017,0
Dual-band microstrip antennas for 5G and short-range applications,"Regina Lionnie, Lili Ruhyana, Mudrik Alaydrus, ",2017,0
Triple band gap coupled microstrip U-slotted patch antenna using L-slot DGS for wireless applications,"Prakhar Consul, ",2015,0
Design of implantable monopole inset-feed C-shaped slot patch antenna for bio-medical applications,"K. Kumar Naik, P. Amala Vijaya Sri, J. Srilakshmi, ",2017,0
A U-slot microstrip patch antenna for Wi-max applications,"Saraff Sahithi, S. Ashok Kumar, T. Shanmuganantham, ",2017,0
Reduced-Cost Constrained Miniaturization of Wideband Antennas Using Improved Trust-Region Gradient Search With Repair Step,"Adrian Bekasiewicz, Slawomir Koziel, Qingsha S. Cheng, ",2018,0
CPW fed slot dipole antenna with comb shape for satellite applications,"Vemuganti Rahul, S. Ashok Kumar, T. Shanmuganantham, ",2018,0
Low-profile planar multiport elliptical patch antenna for wireless communication applications,"Sara Mahmoud, M. G. Wahab, W. Swelam, ",2017,0
A Flexible Dual-Band Antenna With Large Frequency Ratio and Different Radiation Properties Over the Two Bands,"Bing Jie Xiang, Shao Yong Zheng, Hang Wong, Yong Mei Pan, Kai Xu Wang, Ming Hua Xia, ",2018,0
"Design, Fabrication, and Characterization of a Flexible Dual-Band Metamaterial Absorber","Wang Xin, Zhang Binzhen, Wang Wanjun, Wang Junlin, Duan Junping, ",2017,0
Transit Time Dependent Condition Monitoring of PCBs During Testing for Diagnostics in Electronics Industry,"Vimal Samsingh Ramalingam, Malathi Kanagasabai, Esther Florence Sundarsingh, ",2018,0
A novel compact planar UWB antenna with L-shaped parasitic strips,"Ming-Chun Tang, Li Guo, Han Xiong, Qingsheng Zeng, ",2015,1,A multiband planar antenna design using hexagonal patch and a resonator slot
A multiband circular-annular ring patch antenna for wireless applications,"Indu Jiji Rajmohan, M. I. Hussein, ",2017,0
A multiband planar antenna design using hexagonal patch and a resonator slot,"Indu Jiji Rajmohan, M. I. Hussein, ",2016,0
Performance comparison of directional and omnidirectional ultra-wideband antennas in near-field microwave head imaging systems,"Ahmed Toaha Mobashsher, A. M. Abbosh, ",2016,0
